"date","value","countryiso3code"
"2025",23.0101235833333,"NGA"
"2024",33.2416590552749,"NGA"
"2023",24.659550203114,"NGA"
"2022",18.8471877843274,"NGA"
"2021",16.9528457221608,"NGA"
"2020",13.2460234276598,"NGA"
"2019",11.3964223378115,"NGA"
"2018",12.0951065173432,"NGA"
"2017",16.5022662139641,"NGA"
"2016",15.6968126387972,"NGA"
"2015",9.00943498007706,"NGA"
"2025",14.2046755548989,"GHA"
"2024",22.8483281157842,"GHA"
"2023",38.1069656296501,"GHA"
"2022",31.2558951049016,"GHA"
"2021",9.9710886750444,"GHA"
"2020",9.88728956269944,"GHA"
"2019",7.14364003330857,"GHA"
"2018",7.80876516610703,"GHA"
"2017",12.3719215507048,"GHA"
"2016",17.4546347070868,"GHA"
"2015",17.1499695007878,"GHA"
"2025",4.06912878540729,"KEN"
"2024",4.48978854243448,"KEN"
"2023",7.67139634029402,"KEN"
"2022",7.65986268272224,"KEN"
"2021",6.10793603659176,"KEN"
"2020",5.40516207933392,"KEN"
"2019",5.23963795764792,"KEN"
"2018",4.6898064677633,"KEN"
"2017",8.00564967709945,"KEN"
"2016",6.29724953814625,"KEN"
"2015",6.58215429284779,"KEN"
"2025",3.20550474112603,"ZAF"
"2024",4.36115246518962,"ZAF"
"2023",6.0752438457966,"ZAF"
"2022",7.03987272546482,"ZAF"
"2021",4.61874544887136,"ZAF"
"2020",3.23238831615113,"ZAF"
"2019",4.10285075461156,"ZAF"
"2018",4.50987264867388,"ZAF"
"2017",5.18618655524149,"ZAF"
"2016",6.60290842394872,"ZAF"
"2015",4.51869094892506,"ZAF"
"2025",14.0735136645934,"EGY"
"2024",28.2705899322083,"EGY"
"2023",33.8847763115546,"EGY"
"2022",13.8956609775178,"EGY"
"2021",5.21404940513043,"EGY"
"2020",5.04493288977539,"EGY"
"2019",9.15279959324804,"EGY"
"2018",14.4014657807422,"EGY"
"2017",29.5066083940039,"EGY"
"2016",13.813606214829,"EGY"
"2015",10.370490343517,"EGY"
"2025",13.2296432836809,"ETH"
"2024",21.0377460577711,"ETH"
"2023",30.2188278135278,"ETH"
"2022",33.8898797100898,"ETH"
"2021",26.8395221557722,"ETH"
"2020",20.3563468559061,"ETH"
"2019",15.8096321719344,"ETH"
"2018",13.8330356586661,"ETH"
"2017",10.6871150284238,"ETH"
"2016",6.62813337230924,"ETH"
"2015",9.56889955968623,"ETH"
"2025",NA,"ZWE"
"2024",NA,"ZWE"
"2023",NA,"ZWE"
"2022",104.705170628667,"ZWE"
"2021",98.5461050920624,"ZWE"
"2020",557.201817362051,"ZWE"
"2019",255.304990757856,"ZWE"
"2018",10.6188658669575,"ZWE"
"2017",0.893962316050027,"ZWE"
"2016",-1.54366960054161,"ZWE"
"2015",-2.43096842383404,"ZWE"
"2025",1.45900719841385,"SEN"
"2024",0.804503298792438,"SEN"
"2023",5.93947798773215,"SEN"
"2022",9.69681899081073,"SEN"
"2021",2.18032278088147,"SEN"
"2020",2.54314685681662,"SEN"
"2019",1.76011151192939,"SEN"
"2018",0.460985642464188,"SEN"
"2017",1.31815314847789,"SEN"
"2016",0.837284942557434,"SEN"
"2015",0.135211933635165,"SEN"
